feature,model_gain
Adj Close,71295.140625
next_open,63402.9140625
High,40300.55078125
Close,14356.0283203125
Low,1431.0091552734375
Open_lag_1,446.8970642089844
Open,382.3731689453125
Close_lag_1,281.22607421875
Low_lag_5,221.0862579345703
High_lag_1,216.34153747558594
Close_lag_2,214.30892944335938
Adj Close_lag_1,201.0958251953125
Low_lag_2,192.68460083007812
Adj Close_lag_5,168.51028442382812
Adj Close_lag_2,156.47987365722656
Low_lag_1,148.4779815673828
Close_lag_5,137.858642578125
Close_lag_3,135.45846557617188
High_lag_5,127.56666564941406
High_lag_3,112.34828186035156
Adj Close_lag_3,112.25458526611328
Low_lag_3,111.01860046386719
High_lag_2,111.00627136230469
Open_lag_3,98.18089294433594
Volume_lag_5,88.74703979492188
Open_lag_2,81.86759948730469
Volume_lag_1,81.40899658203125
Volume_lag_3,77.1374282836914
Open_lag_5,73.12110900878906
Volume_lag_2,72.13726043701172
Volume,65.02399444580078
